Hospital Name,Street,District,Region
Sunrise Health Center,Nyerere Street,Arumeru,Arusha
Silver Health Center,Njiro Road,Arumeru,Arusha
Sunrise Clinic,Nyamagana Road,Arusha Urban,Arusha
Golden Hospital,Mtaa wa Amani,Arusha Urban,Arusha
Bright Future Health Center,Bismarck Street,Longido,Arusha
New Life Health Facility,Kaloleni Street,Arumeru,Arusha
Peace Medical Center,Azikiwe Street,Arusha Urban,Arusha
Faith Health Facility,Kaloleni Street,Arusha Urban,Arusha
Healing Health Center,Njiro Road,Arumeru,Arusha
Good Health Health Center,Azikiwe Street,Arusha Urban,Arusha
Sacred Heart Clinic,Meru Road,Longido,Arusha
Mercy Clinic,Mtaa wa Walinzi,Arusha Urban,Arusha
Sunrise Health Center,Meru Road,Arumeru,Arusha
Bright Future Clinic,Nyerere Street,Arumeru,Arusha
Unity Clinic,Jamhuri Avenue,Longido,Arusha
St. Mary’s Clinic,Buhongwa Road,Arusha Urban,Arusha
St. Mary’s Medical Center,Kijitonyama Road,Arumeru,Arusha
Unity Health Facility,Mtaa wa Amani,Arusha Urban,Arusha
Silver Clinic,Bismarck Street,Longido,Arusha
St. Mary’s Clinic,Mtaa wa Walinzi,Arumeru,Arusha
Good Health Health Facility,Meru Road,Arusha Urban,Arusha
St. Mary’s Health Facility,Meru Road,Longido,Arusha
Silver Health Center,Nyamagana Road,Longido,Arusha
New Life Hospital,Nyerere Street,Arusha Urban,Arusha
Grace Health Facility,Meru Road,Arusha Urban,Arusha
Bright Future Health Facility,Nyerere Street,Longido,Arusha
Grace Clinic,Buhongwa Road,Arusha Urban,Arusha
St. Mary’s Health Center,Mtaa wa Amani,Arumeru,Arusha
Unity Clinic,Mtaa wa Walinzi,Longido,Arusha
Unity Health Facility,Nyamagana Road,Longido,Arusha
Healing Medical Center,Azikiwe Street,Longido,Arusha
New Life Clinic,Bismarck Street,Arusha Urban,Arusha
Mercy Health Facility,Mtaa wa Walinzi,Arumeru,Arusha
St. Mary’s Hospital,Kaloleni Street,Longido,Arusha
Silver Health Facility,Mtaa wa Amani,Longido,Arusha
New Life Medical Center,Mtaa wa Upendo,Arumeru,Arusha
Faith Hospital,Njiro Road,Arusha Urban,Arusha
Golden Medical Center,Buhongwa Road,Arumeru,Arusha
New Life Health Facility,Mtaa wa Upendo,Arumeru,Arusha
Healing Health Facility,Bismarck Street,Arusha Urban,Arusha
Good Health Clinic,Bismarck Street,Longido,Arusha
Hope Health Facility,Njiro Road,Longido,Arusha
Sunrise Health Facility,Buhongwa Road,Arusha Urban,Arusha
Sacred Heart Medical Center,Meru Road,Arusha Urban,Arusha
Sunrise Health Facility,Nyamagana Road,Arusha Urban,Arusha
Grace Health Facility,Nyerere Street,Longido,Arusha
St. Mary’s Hospital,Meru Road,Arusha Urban,Arusha
Sacred Heart Clinic,Mtaa wa Walinzi,Arumeru,Arusha
Peace Health Facility,Mtaa wa Walinzi,Arumeru,Arusha
Grace Medical Center,Mtaa wa Amani,Longido,Arusha
Unity Medical Center,Njiro Road,Arusha Urban,Arusha
Grace Health Facility,Kaloleni Street,Longido,Arusha
New Life Health Center,Nyerere Street,Longido,Arusha
St. Mary’s Clinic,Njiro Road,Arumeru,Arusha
Sunrise Hospital,Nyamagana Road,Arumeru,Arusha
Silver Medical Center,Nyerere Street,Arumeru,Arusha
Sacred Heart Hospital,Bismarck Street,Longido,Arusha
Sacred Heart Hospital,Kijitonyama Road,Arusha Urban,Arusha
New Life Health Facility,Mtaa wa Walinzi,Arumeru,Arusha
Golden Health Center,Njiro Road,Arusha Urban,Arusha
Hope Medical Center,Azikiwe Street,Longido,Arusha
Grace Hospital,Azikiwe Street,Longido,Arusha
Bright Future Hospital,Mlimani Avenue,Arusha Urban,Arusha
Unity Health Center,Mlimani Avenue,Longido,Arusha
New Life Health Center,Kaloleni Street,Longido,Arusha
Silver Medical Center,Mtaa wa Walinzi,Arusha Urban,Arusha
Unity Health Center,Mtaa wa Walinzi,Longido,Arusha
Grace Hospital,Jamhuri Avenue,Arumeru,Arusha
Golden Clinic,Kijitonyama Road,Arumeru,Arusha
New Life Health Center,Azikiwe Street,Arumeru,Arusha
Unity Health Center,Mtaa wa Baraka,Arusha Urban,Arusha
Hope Health Center,Kaloleni Street,Arusha Urban,Arusha
Mercy Clinic,Azikiwe Street,Arumeru,Arusha
Healing Health Center,Nyamagana Road,Longido,Arusha
Sunrise Health Center,Mlimani Avenue,Arumeru,Arusha
Golden Health Facility,Kijitonyama Road,Longido,Arusha
Sunrise Health Center,Meru Road,Longido,Arusha
Bright Future Medical Center,Jamhuri Avenue,Arumeru,Arusha
Healing Health Center,Mtaa wa Walinzi,Arusha Urban,Arusha
Mercy Health Center,Azikiwe Street,Arumeru,Arusha
Hope Health Facility,Bismarck Street,Arumeru,Arusha
Mercy Hospital,Mtaa wa Walinzi,Longido,Arusha
Good Health Hospital,Njiro Road,Arumeru,Arusha
Silver Health Facility,Mtaa wa Baraka,Arusha Urban,Arusha
Unity Health Facility,Njiro Road,Arusha Urban,Arusha
Peace Clinic,Bismarck Street,Arusha Urban,Arusha
Bright Future Health Facility,Kijitonyama Road,Arumeru,Arusha
New Life Health Facility,Jamhuri Avenue,Arumeru,Arusha
Peace Hospital,Mtaa wa Upendo,Longido,Arusha
Sunrise Medical Center,Mtaa wa Baraka,Arumeru,Arusha
Hope Health Facility,Njiro Road,Arusha Urban,Arusha
Mercy Medical Center,Bismarck Street,Arumeru,Arusha
Peace Clinic,Mlimani Avenue,Longido,Arusha
Silver Medical Center,Kaloleni Street,Longido,Arusha
Peace Hospital,Njiro Road,Arusha Urban,Arusha
Bright Future Health Center,Mtaa wa Walinzi,Longido,Arusha
New Life Health Facility,Bismarck Street,Arumeru,Arusha
St. Mary’s Clinic,Nyerere Street,Arumeru,Arusha
Sunrise Medical Center,Meru Road,Arumeru,Arusha
Good Health Clinic,Mtaa wa Walinzi,Longido,Arusha
Golden Hospital,Jamhuri Avenue,Arumeru,Arusha
Silver Health Center,Buhongwa Road,Arusha Urban,Arusha
Faith Health Facility,Jamhuri Avenue,Arumeru,Arusha
Golden Health Center,Nyamagana Road,Arumeru,Arusha
Good Health Clinic,Buhongwa Road,Arusha Urban,Arusha
New Life Clinic,Nyamagana Road,Arumeru,Arusha
Faith Clinic,Jamhuri Avenue,Arusha Urban,Arusha
Healing Medical Center,Jamhuri Avenue,Arumeru,Arusha
Silver Health Facility,Mtaa wa Upendo,Arusha Urban,Arusha
Bright Future Hospital,Mtaa wa Upendo,Longido,Arusha
Bright Future Hospital,Kaloleni Street,Arusha Urban,Arusha
Grace Health Facility,Buhongwa Road,Longido,Arusha
New Life Health Center,Azikiwe Street,Arusha Urban,Arusha
Silver Medical Center,Bismarck Street,Arumeru,Arusha
Grace Clinic,Azikiwe Street,Arumeru,Arusha
Healing Health Center,Mtaa wa Baraka,Arumeru,Arusha
New Life Health Center,Nyamagana Road,Longido,Arusha
Grace Clinic,Kijitonyama Road,Arusha Urban,Arusha
St. Mary’s Clinic,Meru Road,Arumeru,Arusha
Healing Medical Center,Mlimani Avenue,Longido,Arusha
Mercy Clinic,Nyamagana Road,Arumeru,Arusha
Good Health Medical Center,Mtaa wa Upendo,Arumeru,Arusha
Unity Health Facility,Azikiwe Street,Arumeru,Arusha
Healing Health Facility,Bismarck Street,Arumeru,Arusha
Unity Health Facility,Mtaa wa Baraka,Arusha Urban,Arusha
Sacred Heart Health Facility,Nyamagana Road,Arusha Urban,Arusha
Golden Hospital,Mtaa wa Baraka,Arumeru,Arusha
Silver Clinic,Mlimani Avenue,Longido,Arusha
Mercy Hospital,Nyamagana Road,Arumeru,Arusha
St. Mary’s Health Facility,Nyerere Street,Arumeru,Arusha
Mercy Hospital,Njiro Road,Arumeru,Arusha
Sunrise Health Center,Kaloleni Street,Arumeru,Arusha
Mercy Hospital,Azikiwe Street,Arusha Urban,Arusha
Hope Clinic,Buhongwa Road,Arumeru,Arusha
Grace Health Center,Mtaa wa Walinzi,Longido,Arusha
Healing Hospital,Bismarck Street,Arumeru,Arusha
Healing Health Facility,Nyamagana Road,Longido,Arusha
Healing Health Center,Mtaa wa Baraka,Arumeru,Arusha
Mercy Hospital,Azikiwe Street,Arumeru,Arusha
Hope Hospital,Meru Road,Longido,Arusha
Golden Health Center,Buhongwa Road,Arumeru,Arusha
Golden Medical Center,Mlimani Avenue,Longido,Arusha
New Life Clinic,Mtaa wa Baraka,Longido,Arusha
Grace Clinic,Mtaa wa Baraka,Arumeru,Arusha
St. Mary’s Health Facility,Mtaa wa Upendo,Arusha Urban,Arusha
Mercy Medical Center,Meru Road,Arusha Urban,Arusha
Sunrise Medical Center,Buhongwa Road,Arumeru,Arusha
Bright Future Health Facility,Bismarck Street,Arumeru,Arusha
Bright Future Health Facility,Njiro Road,Arusha Urban,Arusha
Faith Clinic,Kaloleni Street,Arumeru,Arusha
Good Health Health Facility,Nyerere Street,Longido,Arusha
Sunrise Hospital,Mtaa wa Upendo,Longido,Arusha
Silver Medical Center,Mtaa wa Amani,Arusha Urban,Arusha
Grace Health Facility,Meru Road,Longido,Arusha
Unity Hospital,Buhongwa Road,Arumeru,Arusha
Good Health Health Center,Azikiwe Street,Longido,Arusha
Grace Clinic,Nyamagana Road,Arusha Urban,Arusha
Hope Medical Center,Nyamagana Road,Longido,Arusha
St. Mary’s Medical Center,Kaloleni Street,Longido,Arusha
Unity Clinic,Mtaa wa Baraka,Magu,Mwanza
Sacred Heart Medical Center,Mtaa wa Amani,Nyamagana,Mwanza
Peace Health Center,Buhongwa Road,Magu,Mwanza
Faith Clinic,Mtaa wa Baraka,Nyamagana,Mwanza
Golden Hospital,Mtaa wa Upendo,Ilemela,Mwanza
Peace Health Center,Nyerere Street,Magu,Mwanza
Golden Health Center,Bismarck Street,Magu,Mwanza
Sunrise Clinic,Nyerere Street,Nyamagana,Mwanza
St. Mary’s Health Facility,Buhongwa Road,Magu,Mwanza
Golden Health Facility,Kijitonyama Road,Magu,Mwanza
Good Health Health Facility,Nyamagana Road,Magu,Mwanza
Healing Hospital,Azikiwe Street,Nyamagana,Mwanza
Unity Clinic,Kaloleni Street,Magu,Mwanza
Sunrise Medical Center,Kaloleni Street,Ilemela,Mwanza
Sunrise Health Facility,Mtaa wa Baraka,Ilemela,Mwanza
Peace Health Facility,Mtaa wa Amani,Nyamagana,Mwanza
Peace Health Center,Mtaa wa Upendo,Nyamagana,Mwanza
Silver Medical Center,Kaloleni Street,Nyamagana,Mwanza
Healing Health Center,Jamhuri Avenue,Nyamagana,Mwanza
New Life Medical Center,Jamhuri Avenue,Magu,Mwanza
New Life Health Center,Kaloleni Street,Magu,Mwanza
Silver Hospital,Jamhuri Avenue,Ilemela,Mwanza
Silver Health Center,Jamhuri Avenue,Ilemela,Mwanza
Silver Clinic,Kaloleni Street,Magu,Mwanza
Silver Hospital,Jamhuri Avenue,Nyamagana,Mwanza
Grace Health Center,Kijitonyama Road,Magu,Mwanza
Unity Health Center,Mtaa wa Baraka,Ilemela,Mwanza
Bright Future Health Facility,Mtaa wa Walinzi,Magu,Mwanza
Grace Medical Center,Mtaa wa Baraka,Nyamagana,Mwanza
Hope Health Center,Azikiwe Street,Ilemela,Mwanza
Sunrise Health Facility,Meru Road,Ilemela,Mwanza
Healing Health Facility,Kijitonyama Road,Nyamagana,Mwanza
Sunrise Health Center,Mlimani Avenue,Magu,Mwanza
Faith Medical Center,Kaloleni Street,Ilemela,Mwanza
St. Mary’s Medical Center,Mlimani Avenue,Magu,Mwanza
Healing Medical Center,Buhongwa Road,Magu,Mwanza
Silver Medical Center,Mtaa wa Upendo,Nyamagana,Mwanza
Peace Health Facility,Mlimani Avenue,Magu,Mwanza
Hope Clinic,Bismarck Street,Magu,Mwanza
St. Mary’s Hospital,Njiro Road,Ilemela,Mwanza
Sacred Heart Clinic,Buhongwa Road,Nyamagana,Mwanza
Mercy Hospital,Kijitonyama Road,Magu,Mwanza
St. Mary’s Health Facility,Nyerere Street,Ilemela,Mwanza
Golden Health Facility,Azikiwe Street,Magu,Mwanza
Peace Hospital,Mtaa wa Amani,Magu,Mwanza
New Life Medical Center,Mtaa wa Walinzi,Ilemela,Mwanza
St. Mary’s Health Center,Kijitonyama Road,Nyamagana,Mwanza
Unity Hospital,Kaloleni Street,Nyamagana,Mwanza
Faith Clinic,Nyamagana Road,Ilemela,Mwanza
Healing Health Facility,Nyamagana Road,Nyamagana,Mwanza
Bright Future Medical Center,Buhongwa Road,Ilemela,Mwanza
St. Mary’s Hospital,Kijitonyama Road,Magu,Mwanza
Peace Health Facility,Mtaa wa Upendo,Nyamagana,Mwanza
Sacred Heart Health Center,Kijitonyama Road,Ilemela,Mwanza
St. Mary’s Clinic,Kijitonyama Road,Magu,Mwanza
Healing Medical Center,Kijitonyama Road,Ilemela,Mwanza
Peace Health Facility,Kijitonyama Road,Ilemela,Mwanza
New Life Hospital,Nyamagana Road,Nyamagana,Mwanza
Golden Clinic,Meru Road,Magu,Mwanza
St. Mary’s Health Center,Mtaa wa Upendo,Nyamagana,Mwanza
New Life Medical Center,Bismarck Street,Ilemela,Mwanza
Good Health Medical Center,Nyamagana Road,Ilemela,Mwanza
Golden Health Center,Mlimani Avenue,Magu,Mwanza
Silver Medical Center,Kaloleni Street,Nyamagana,Mwanza
Good Health Health Center,Mtaa wa Upendo,Ilemela,Mwanza
Healing Health Center,Kijitonyama Road,Nyamagana,Mwanza
St. Mary’s Health Center,Mtaa wa Baraka,Ilemela,Mwanza
Peace Health Center,Njiro Road,Nyamagana,Mwanza
Good Health Health Center,Njiro Road,Nyamagana,Mwanza
Hope Clinic,Mlimani Avenue,Magu,Mwanza
Healing Medical Center,Nyerere Street,Ilemela,Mwanza
Grace Health Facility,Azikiwe Street,Ilemela,Mwanza
St. Mary’s Health Center,Jamhuri Avenue,Magu,Mwanza
St. Mary’s Health Facility,Mtaa wa Amani,Ilemela,Mwanza
Bright Future Health Facility,Njiro Road,Magu,Mwanza
Sunrise Hospital,Nyerere Street,Nyamagana,Mwanza
Sacred Heart Medical Center,Kijitonyama Road,Nyamagana,Mwanza
Silver Hospital,Mtaa wa Baraka,Magu,Mwanza
Golden Health Center,Mtaa wa Amani,Magu,Mwanza
New Life Medical Center,Mlimani Avenue,Nyamagana,Mwanza
New Life Medical Center,Mtaa wa Upendo,Magu,Mwanza
Faith Medical Center,Njiro Road,Nyamagana,Mwanza
Sunrise Clinic,Mtaa wa Walinzi,Magu,Mwanza
Grace Hospital,Bismarck Street,Ilemela,Mwanza
Sunrise Health Center,Kijitonyama Road,Nyamagana,Mwanza
Peace Clinic,Buhongwa Road,Magu,Mwanza
Silver Hospital,Nyerere Street,Ilemela,Mwanza
Golden Health Center,Mtaa wa Upendo,Magu,Mwanza
Faith Hospital,Nyamagana Road,Nyamagana,Mwanza
Mercy Health Center,Buhongwa Road,Magu,Mwanza
Mercy Health Center,Kaloleni Street,Magu,Mwanza
Good Health Medical Center,Nyamagana Road,Ilemela,Mwanza
Peace Clinic,Bismarck Street,Ilemela,Mwanza
Bright Future Hospital,Njiro Road,Nyamagana,Mwanza
Mercy Health Facility,Mtaa wa Walinzi,Magu,Mwanza
Faith Clinic,Jamhuri Avenue,Magu,Mwanza
Peace Health Center,Buhongwa Road,Magu,Mwanza
Silver Health Center,Mtaa wa Walinzi,Magu,Mwanza
Unity Clinic,Jamhuri Avenue,Ilemela,Mwanza
Unity Medical Center,Mtaa wa Upendo,Magu,Mwanza
Sacred Heart Medical Center,Mtaa wa Upendo,Magu,Mwanza
St. Mary’s Health Facility,Kijitonyama Road,Magu,Mwanza
Golden Medical Center,Mlimani Avenue,Nyamagana,Mwanza
Sacred Heart Health Facility,Azikiwe Street,Ilemela,Mwanza
Healing Hospital,Mlimani Avenue,Ilemela,Mwanza
Golden Health Facility,Mtaa wa Baraka,Nyamagana,Mwanza
Sacred Heart Health Facility,Mtaa wa Walinzi,Nyamagana,Mwanza
Healing Clinic,Mlimani Avenue,Nyamagana,Mwanza
Peace Health Center,Kaloleni Street,Magu,Mwanza
New Life Health Center,Nyerere Street,Nyamagana,Mwanza
Silver Health Facility,Kaloleni Street,Nyamagana,Mwanza
Faith Hospital,Njiro Road,Magu,Mwanza
Sunrise Health Center,Mlimani Avenue,Nyamagana,Mwanza
Hope Clinic,Azikiwe Street,Ilemela,Mwanza
Mercy Clinic,Mtaa wa Walinzi,Magu,Mwanza
